web;title;library;url;size
"МБДОУ Кожильский д/с ""Колосок""";уточненные сведения об операциях с целевыми субсидиями от 28 февраля 2015.docx;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/уточненные сведения об операциях с целевыми субсидиями от 28 февраля 2015.docx;0,72644693
"МБДОУ Кожильский д/с ""Колосок""";Сведения об операциях с целевыми субсидиями от 1 ноября.docx;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Сведения об операциях с целевыми субсидиями от 1 ноября.docx;0,721820297
"МБДОУ Кожильский д/с ""Колосок""";Приказ об организации питания.docx;pages;/blz/blz_ds_koj/pages/Приказ об организации питания.docx;0,683020718
"МБДОУ Кожильский д/с ""Колосок""";Изменения ПФХД от 21.04.2015.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/Изменения ПФХД от 21.04.2015.pdf;0,63298778
"МБДОУ Кожильский д/с ""Колосок""";Календарный учебный график работы на 2016-2017 учебный год.pdf;Образовательные программы и учебные планы;/blz/blz_ds_koj/DocLib2/Календарный учебный график работы на 2016-2017 учебный год.pdf;0,630191961
"МБДОУ Кожильский д/с ""Колосок""";Сведения об операциях с целевыми субсидиями.pdf;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Сведения об операциях с целевыми субсидиями.pdf;0,610939041
"МБДОУ Кожильский д/с ""Колосок""";день матери.docx;pages;/blz/blz_ds_koj/pages/день матери.docx;0,58767008
"МБДОУ Кожильский д/с ""Колосок""";после ремонта 2014 001.jpg;pages;/blz/blz_ds_koj/pages/после ремонта 2014 001.jpg;0,535026234
"МБДОУ Кожильский д/с ""Колосок""";Копия решения учредителя о назначении руководителя.pdf;Копии документов;/blz/blz_ds_koj/DocLib15/Копия решения учредителя о назначении руководителя.pdf;0,486741286
"МБДОУ Кожильский д/с ""Колосок""";образовательная программа.docx;Образовательные программы и учебные планы;/blz/blz_ds_koj/DocLib2/образовательная программа.docx;0,46995096
"МБДОУ Кожильский д/с ""Колосок""";Удмуртия - мой край родной.docx;pages;/blz/blz_ds_koj/pages/Удмуртия - мой край родной.docx;0,456953241
"МБДОУ Кожильский д/с ""Колосок""";Режим занятий обучающихся на 2016-2017 учебный год.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Режим занятий обучающихся на 2016-2017 учебный год.docx;0,433682353
"МБДОУ Кожильский д/с ""Колосок""";Сведения об опрерациях с целевыми  субсидиями на март 2016 г.docx;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Сведения об опрерациях с целевыми  субсидиями на март 2016 г.docx;0,43303709
"МБДОУ Кожильский д/с ""Колосок""";новогодние утренники.docx;pages;/blz/blz_ds_koj/pages/новогодние утренники.docx;0,418911605
"МБДОУ Кожильский д/с ""Колосок""";правила внутреннего трудового распорядка.pdf;Общие документы;/blz/blz_ds_koj/commondocs/локальные нормативные акты/правила внутреннего трудового распорядка.pdf;0,339103142
"МБДОУ Кожильский д/с ""Колосок""";Дополнительные общеразвивающие программы.zip;Образовательные программы и учебные планы;/blz/blz_ds_koj/DocLib2/Дополнительные общеразвивающие программы.zip;0,30241078
"МБДОУ Кожильский д/с ""Колосок""";Устав.doc;Элементы интерфейса ОУ;/blz/blz_ds_koj/DocLib/Устав.doc;0,285009862
"МБДОУ Кожильский д/с ""Колосок""";Устав.doc;pages;/blz/blz_ds_koj/pages/Устав.doc;0,281558185
"МБДОУ Кожильский д/с ""Колосок""";Информация о приёме.docx;Информация о приеме в детский сад;/blz/blz_ds_koj/DocLib14/Информация о приёме.docx;0,264640733
"МБДОУ Кожильский д/с ""Колосок""";0_STATIC9c242_99f709c.jpg;pages;/blz/blz_ds_koj/pages/0_STATIC9c242_99f709c.jpg;0,169160079
"МБДОУ Кожильский д/с ""Колосок""";Устав.doc;Общие документы;/blz/blz_ds_koj/commondocs/Устав.doc;0,143491124
"МБДОУ Кожильский д/с ""Колосок""";педагогический совет.pdf;Общие документы;/blz/blz_ds_koj/commondocs/локальные нормативные акты/педагогический совет.pdf;0,130506888
"МБДОУ Кожильский д/с ""Колосок""";собрание трудового коллектива.pdf;Общие документы;/blz/blz_ds_koj/commondocs/локальные нормативные акты/собрание трудового коллектива.pdf;0,125811876
"МБДОУ Кожильский д/с ""Колосок""";0_STATIC7c9d1_f50d181c.jpg;pages;/blz/blz_ds_koj/pages/0_STATIC7c9d1_f50d181c.jpg;0,0869757
"МБДОУ Кожильский д/с ""Колосок""";Примерное Положение об офиц ОУ УР (Приложение 3 к письму УО МО УР от 23.08.12 исх. 350).doc;Общие документы;/blz/blz_ds_koj/commondocs/Об официальном сайте/Примерное Положение об офиц ОУ УР (Приложение 3 к письму УО МО УР от 23.08.12 исх. 350).doc;0,084319527
"МБДОУ Кожильский д/с ""Колосок""";соглашение1.pdf;Общие документы;/blz/blz_ds_koj/commondocs/Об официальном сайте/соглашение1.pdf;0,075288731
"МБДОУ Кожильский д/с ""Колосок""";отчет по Муниципальному заданию 2013 г.doc;Общие документы;/blz/blz_ds_koj/commondocs/отчет по Муниципальному заданию 2013 г.doc;0,066568047
"МБДОУ Кожильский д/с ""Колосок""";соглашение2.pdf;Общие документы;/blz/blz_ds_koj/commondocs/Об официальном сайте/соглашение2.pdf;0,063054734
"МБДОУ Кожильский д/с ""Колосок""";обзор новостей.docx;pages;/blz/blz_ds_koj/pages/обзор новостей.docx;0,054477549
"МБДОУ Кожильский д/с ""Колосок""";Об утверждении ФГОС ДО.docx;Образовательные стандарты;/blz/blz_ds_koj/DocLib8/Об утверждении ФГОС ДО.docx;0,051485261
"МБДОУ Кожильский д/с ""Колосок""";положение об ОПП.doc;Общие документы;/blz/blz_ds_koj/commondocs/локальные нормативные акты/положение об ОПП.doc;0,050788955
"МБДОУ Кожильский д/с ""Колосок""";План-график по введению ФГОС ДО.docx;Образовательные стандарты;/blz/blz_ds_koj/DocLib8/План-график по введению ФГОС ДО.docx;0,049171944
"МБДОУ Кожильский д/с ""Колосок""";Политика в отношении персональных данных.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Политика в отношении персональных данных.docx;0,04811352
"МБДОУ Кожильский д/с ""Колосок""";Рабочие программы учебных дисциплин .rar;Образовательные программы и учебные планы;/blz/blz_ds_koj/DocLib2/Рабочие программы учебных дисциплин .rar;0,046257666
